#t[s]	Wasser	Sand	T[°C]
0	21.8	24.1
30	24.8	24.9
60	25.8	28.4
90	26.7	34.3
120	28.0	39.9
150	29.7	46.7
180	31.3	52.3
210	33.2	57.9
240	35.5	64.4
270	37.5	69.2
300	39.9	74.2
